role_id,standard_role,description,example_keywords
ROLE_01,Backend Developer,"Server-side development roles involving backend logic, APIs, databases, Java, Python, Node.js, PHP, .NET, Golang, Spring, Django, Laravel, or microservices.","backend, java, spring, python developer, node.js, php, .net, golang, api, microservices, database"
ROLE_02,Frontend Developer,"Client-side development roles involving web UI, JavaScript frameworks, HTML, CSS, React, Angular, Vue, or frontend engineering.","frontend, front-end, react, angular, vue, javascript, typescript, html, css, ui developer"
ROLE_03,Full Stack Developer,Roles requiring both frontend and backend development responsibilities.,"full stack, full-stack, fullstack, mern, mean"
ROLE_04,DevOps Engineer,"Infrastructure, CI/CD, cloud, deployment, automation, integration, Kubernetes, Docker, SRE, or system operations roles.","devops, cloud, aws, azure, gcp, kubernetes, docker, ci/cd, infrastructure, sre, integration"
ROLE_05,Data / AI Role,"Data science, data engineering, machine learning, artificial intelligence, NLP, BI, or data analytics roles.","data scientist, data engineer, machine learning, ai, ml, nlp, data analyst, data analytics, business intelligence"
ROLE_06,QA Engineer,"Software testing, quality assurance, automation testing, manual testing, SDET, and test engineering roles.","qa, quality assurance, tester, test engineer, automation testing, manual testing, sdet"
ROLE_07,Mobile Developer,"Mobile application development roles involving Android, iOS, Flutter, React Native, Kotlin, or Swift.","android, ios, mobile, flutter, react native, kotlin, swift"
ROLE_08,Project / Program Manager,"Project management, delivery management, scrum master, program management, and coordination roles.","project manager, program manager, delivery manager, scrum master, coordinator"
ROLE_09,Product Manager,"Product ownership, product strategy, product management, and product leadership roles.","product manager, product owner, product lead"
ROLE_10,Marketing / Sales,"Marketing, sales, business development, customer acquisition, lead generation, growth, PR, and account management roles.","marketing, sales, business development, growth, lead generation, account manager, pr manager"
ROLE_11,Business / Operations Role,"Business, operations, HR, people operations, recruitment, finance, administration, customer support, and non-technical business roles.","hr, people partner, recruiter, operations, finance, customer support, business analyst, country manager"
ROLE_12,Design / Creative Role,"Design, UX/UI, graphic design, product design, illustration, creative writing, content creation, storytelling, and visual communication roles.","designer, ux, ui, product designer, graphic designer, illustrator, creative designer, writer, content writer, storyteller"
ROLE_13,Other,Roles that do not clearly fit into the predefined taxonomy.,"unclear, mixed, insufficient information"
