rag_type,model_name,prompt_type,benchmark_score,prompt_rank
NON_RAG,llama-3.1-8b-instant,chain_of_thought,0.5901891316219062,1
NON_RAG,llama-3.1-8b-instant,self_consistency,0.5279224822306832,2
NON_RAG,llama-3.1-8b-instant,zero_shot,0.5263567387660046,3
NON_RAG,llama-3.1-8b-instant,style_based,0.5226461792942043,4
NON_RAG,llama-3.1-8b-instant,few_shot,0.13818190971838495,5
NON_RAG,llama-3.3-70b-versatile,style_based,0.5938224540329833,1
NON_RAG,llama-3.3-70b-versatile,chain_of_thought,0.5791643223865155,2
NON_RAG,llama-3.3-70b-versatile,self_consistency,0.5757174865936349,3
NON_RAG,llama-3.3-70b-versatile,zero_shot,0.4722988792383154,4
NON_RAG,llama-3.3-70b-versatile,few_shot,0.1409900387037583,5
NON_RAG,openai/gpt-oss-120b,style_based,0.6202687340869201,1
NON_RAG,openai/gpt-oss-120b,self_consistency,0.6047441382042245,2
NON_RAG,openai/gpt-oss-120b,zero_shot,0.5399119953182945,3
NON_RAG,openai/gpt-oss-120b,chain_of_thought,0.4968584513345412,4
NON_RAG,openai/gpt-oss-120b,few_shot,0.383498278596274,5
RAG,llama-3.1-8b-instant,zero_shot,0.5658409792009386,1
RAG,llama-3.1-8b-instant,chain_of_thought,0.5515029777406374,2
RAG,llama-3.1-8b-instant,self_consistency,0.49017288654446656,3
RAG,llama-3.1-8b-instant,few_shot,0.3601068651706014,4
RAG,llama-3.1-8b-instant,style_based,0.3233159086818963,5
RAG,llama-3.3-70b-versatile,zero_shot,0.7391353060920318,1
RAG,llama-3.3-70b-versatile,self_consistency,0.7123219885475532,2
RAG,llama-3.3-70b-versatile,chain_of_thought,0.6441657763122501,3
RAG,llama-3.3-70b-versatile,style_based,0.6313619918279426,4
RAG,llama-3.3-70b-versatile,few_shot,0.523433462513743,5
RAG,openai/gpt-oss-120b,few_shot,0.7773962407183234,1
RAG,openai/gpt-oss-120b,chain_of_thought,0.5786383074869627,2
RAG,openai/gpt-oss-120b,self_consistency,0.5429162388867874,3
RAG,openai/gpt-oss-120b,zero_shot,0.5184277810648057,4
RAG,openai/gpt-oss-120b,style_based,0.36866423324740566,5
