prompt_type,model_name,NON_RAG,RAG,rag_gain,rag_gain_percentage
few_shot,openai/gpt-oss-120b,0.383498278596274,0.7773962407183234,0.39389796212204936,102.71179405650568
few_shot,llama-3.3-70b-versatile,0.1409900387037583,0.523433462513743,0.3824434238099847,271.2556343172279
zero_shot,llama-3.3-70b-versatile,0.4722988792383154,0.7391353060920318,0.2668364268537164,56.49736609243031
few_shot,llama-3.1-8b-instant,0.13818190971838495,0.3601068651706014,0.22192495545221647,160.60347979304964
self_consistency,llama-3.3-70b-versatile,0.5757174865936349,0.7123219885475532,0.13660450195391838,23.72769720130795
chain_of_thought,openai/gpt-oss-120b,0.4968584513345412,0.5786383074869627,0.08177985615242145,16.459387162030584
chain_of_thought,llama-3.3-70b-versatile,0.5791643223865155,0.6441657763122501,0.06500145392573464,11.22331804864782
zero_shot,llama-3.1-8b-instant,0.5263567387660046,0.5658409792009386,0.039484240434933926,7.501422044581613
style_based,llama-3.3-70b-versatile,0.5938224540329833,0.6313619918279426,0.03753953779495933,6.321677050102628
zero_shot,openai/gpt-oss-120b,0.5399119953182945,0.5184277810648057,-0.021484214253488787,-3.9792066929024594
self_consistency,llama-3.1-8b-instant,0.5279224822306832,0.49017288654446656,-0.03774959568621661,-7.150594444606622
chain_of_thought,llama-3.1-8b-instant,0.5901891316219062,0.5515029777406374,-0.03868615388126884,-6.554873990131761
self_consistency,openai/gpt-oss-120b,0.6047441382042245,0.5429162388867874,-0.06182789931743704,-10.22381126355912
style_based,llama-3.1-8b-instant,0.5226461792942043,0.3233159086818963,-0.199330270612308,-38.138664073176436
style_based,openai/gpt-oss-120b,0.6202687340869201,0.36866423324740566,-0.2516045008395144,-40.56378905022421
