label,precision,recall,f1-score,support
Backend Developer,0.6296296296296297,0.8947368421052632,0.7391304347826086,19.0
Frontend Developer,1.0,0.875,0.9333333333333333,8.0
Full Stack Developer,1.0,0.8333333333333334,0.9090909090909091,6.0
DevOps Engineer,0.7777777777777778,0.875,0.8235294117647058,8.0
Data / AI Role,1.0,1.0,1.0,3.0
QA Engineer,0.7,1.0,0.8235294117647058,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.6,1.0,0.75,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.625,0.5,0.5555555555555556,10.0
Business / Operations Role,0.75,1.0,0.8571428571428571,9.0
Design / Creative Role,0.75,0.6666666666666666,0.7058823529411765,9.0
Other,0.0,0.0,0.0,13.0
accuracy,0.73,0.73,0.73,0.73
macro avg,0.7178774928774929,0.7995951417004048,0.7400772146296444,100.0
weighted avg,0.6613518518518517,0.73,0.6828565210010225,100.0
